Register	Sigle	Fundort	Transliteration	OCIANA-Uebersetzung	Deutsche Fassung
klagen	KRS 17	Wādī Salma	l ngʾt bn yʿly bn bny b{n} s²ʿ bn qmlt w wgd s¹fr ms¹k f bky w bʾs¹ mẓll w {ḏ}kr ʾḫ -h {s¹}{b}{y} s¹nt ws¹q ʾl mʿṣ w wgm ʿl- rb w ʿl- yʿly w ʿl- ----ḥ f wny	By Ngʾt son of Yʿly son of Bny {son of} S²ʿ son of Qmlt and he found the writing of Ms¹k and he wept and was overshadowed by grief and {he remembered} his brother {taken captive} the year of the struggle of ʾl Mʿṣ and he grieved for Rb and for Yʿly and for {----ḥ} and so he became depressed	Er fand die Schrift des Msk / und weinte, / und die Trauer legte sich über ihn. / Er dachte an den Bruder, den sie fortführten, / im Jahr des Kampfes des Mʿṣ, / und trauerte um Rb, um Yʿly, um ----ḥ, / und wurde schwer.
klagen	LP 540	al-ʿĪsāwī	l ḥnn bn ḥnn bn ʾys¹ bn (k)(s¹)ṭ bn ḥnn bn zbdyn bn rṯʾl w wgm ʿl- ʾḫt -h w bky w bny h- rgm s¹nt ngy m- nmrt h- s¹lṭn ʿl- ʾl ʿwḏ	By Ḥnn son of Ḥnn son of ʾys¹ son of Ks¹ṭ son of Ḥnn son of Zbdyn son of Rṯʾl and he grieved for his sister and wept [for her] and built this sepulchre, in the year in which he escaped from Nmrt of the Government to the tribe ʿwḏ	Er trauerte um die Schwester / und weinte um sie / und baute ihr dieses Grab, / im Jahr, als er floh / vor Nmrt, dem Mann der Regierung, / zum Stamm ʿwḏ.
klagen	SIJ 1001	bei Ruwayshid	l mʾd [bn] ḥn w ḥwbn	By Mʾd son of Ḥn and they wept with grief	Sie weinten vor Kummer.
klagen	SIJ 811	Tell al-ʿAbd	l {h}s²yz bn qhr w ḥwb ʿ----gh	By Hs²yz son of Qhr and he wept with grief for ---Gh	Er weinte vor Kummer / um ----Gh.
klagen	SSWS 28	Wādī Sārah	l ns²l bn ʾs¹d w ḥwb	By Ns²l son of ʾs¹d and he wept with grief	Er weinte vor Kummer.
klagen	WH 1517	Fundort unbekannt	l ʿzz bn rfln w ḥwb	By ʿzz son of Rfln and he wept with grief	Er weinte vor Kummer.
klagen	WH 2825	Fundort unbekannt	l rṯm bn mḍn w ḥwb b- ʿwn	By Rṯm son of Mḍn and he wept with grief	Er weinte vor Kummer.
klagen	WH 3029	Fundort unbekannt	l tmlh bn ʿmr w ḥy{b} ʿl- fly	By Tmlh son of ʿmr and he wept with grief for Fly	Er weinte vor Kummer / um Fly.
klagen	WH 3829	Fundort unbekannt	l s²dy bn zkk w ḥwb	By S²dy son of Zkk and he wept with grief	Er weinte vor Kummer.
fluchen	C 1087	Rif Dimašq	l mġny (b)n ḥ(ṣ)ṣ bn mġny bn ḥṣṣ bn ʾḥlm bn ms¹lmʾ{l} f h lt ġnmt l- ḏ dʿy w ʿr{g} w ʿwr ʿyb {l-} ḏ ḫbl {h-} tl	By Mġny {son of} Ḥṣṣ son of Mġny son of Ḥṣṣ son of ʾḥlm son of Ms¹lmʾl and so O Lt [grant] booty to whomever reads [the text] out loud and [inflict] lameness and shameful blindness on whomever damages the words	Allat — / Beute dem, der dies vorliest, / Lähmung und schändliche Blindheit / dem, der die Worte verletzt.
fluchen	C 1845	Zalaf	l ns²l bn mqm bn ḥml bn ns²bt w h lt ʿwr ḏ yʿwr	By Ns²l son of Mqm son of Ḥml son of Ns²bt and O Lt blind whoever scratches out [the inscription]	Allat — / blende, wer dies blind macht.
fluchen	C 2551	Zalaf	l ṣrmt bn ʿbd bn ṣʿd bn ʿḏ bn s²rb w ḏkr ʾḫr {h-} ḫṭṭ w(h) f bʾs¹ m ẓll f h lt ṯʾr m- ḏ ʾs¹lf w ʿwr l- ḏ yʿw[r]	By Ṣrmt son of ʿbd son of Ṣʿd son of ʿḏ son of S²rb and he recognized another of {the} carvings {alas} and so despair for those who remain and so O Lt [grant] revenge on him who has committed this act [requiring vengeance] and [inflict] blindness on whoever {scratches out} [the inscription]	Er erkannte eine weitere Ritzung — / wer überlebt, verzweifelt.  / Allat — / Rache an dem, der die Tat beging, / und blende, wer dies blind macht.
fluchen	C 2775	Zalaf	l s¹krn bn rbḥ bn ʾbd bn ʾs¹d bn ṭrd bn nqr bn ʾdm w wgʿ ʿl- nr w ʿl- ṣfwn w ʿl- ks¹ṭ f w(l)(h) ʿl- ʾs²yʿ -h w ʿwr l- ḏ {ʿ}wr h- [ḫ]ṭṭ	By S¹krn son of Rbḥ son of ʾbd son of ʾs¹d son of Ṭrd son of Nqr son of ʾdm and he grieved in pain for Nr and for Ṣfwn and for Ks¹ṭ and so {he was distraught} for his companions and blindness to whoever would scratch out the carving	Er trauerte vor Schmerz / um Nr, um Ṣfwn, um Ksṭ, / und war verstört um die Gefährten. / Wer dies blind macht: erblinde.
fluchen	C 3138	Zalaf	l s²hyt bn s¹ny bn ks¹ṭ bn ʿbdhm w h rḍy ʿwr l- ḏ yʿwr	By S²hyt son of S¹ny son of Ks¹ṭ son of ʿbdhm and O Rḍy blind whoever scratches out	Rudā — / blende, wer dies blind macht.
fluchen	C 4439	Al-Suwaydā	l m{z}n bn ʾs¹ bn ys¹mʿl ḏ- ʾl ḍf w ṣr s¹nt ṭrq ʾl rm s²mt bn ʾs¹ h- qʿs²y f h lt ʿwr l- ḏ yʿw[r] h- s¹fr	By {Mzn} son of ʾs¹ son of Ys¹mʿl of the lineage of Ḍf and he returned to water the year that the Romans smote S²mt son of ʾs¹ the Qʿs²ite and so O Lt [inflict] blindness on whoever {scratches out} the inscription.	Er kam zurück zum Wasser / im Jahr, als die Römer Šmt erschlugen. / Allat — / Blindheit dem, der dies blind macht.
fluchen	C 4803	Zalaf	l ʾlwhb bn {z}mr bn ḏk{r} {f} wʿ{y} ʿl- rḫlt -h ws¹q -h h- ḏʾb f h b{ʿ}ls¹mn s¹lm l- nʿm ḥl w ʿwr {l-} ḏ yʿwr h- s¹fr w ḥyy l- ḏ yqrʾ h- ktb	By ʾlwhb son of {Zmr} son of Ḏkr and he {was mindful} of his ewe-lamb, which the wolf had seized, so, O {Bʿls¹mn}, let there be security that camping be made easy; and may he who would efface this writing go blind but may he who would read this writing have long life.	Von ʾlwhb, Sohn des Zmr, Sohn des Ḏkr. / Und er dachte an sein Lamm, / das der Wolf geschlagen hatte. / Baalschamin — gib Sicherheit, / dass das Lagern leicht werde. / Und wer diese Schrift blind macht, erblinde. / Wer sie liest, lebe lang.
fluchen	C 5299	Ḥarrat al-Raǧil	l hʾs¹ bn ʾhwd bn yʿly h rḍy ʿwr m ʿwr	By Hʾs¹ son of ʾhwd son of Yʿly and O Rḍy blind whoever scratches out {the writing}	Rudā — / blende, wer die Schrift blind macht.
fluchen	Is.Mu 242	al-ʿĪsāwī	l whblh bn mlk bn whblh bn mrʾlh bn ʾḥlm bn lbṣrh w wgm ʿl- mlk w ʿl- ḫrg w ʿl- gḥmn w ʿl- ʾys¹ w ʿl- ẓn f h lt w ds²r ṯʾr w ʿwr ḏ yʿwr w dṯn h- ʾ{ḥ}d l- mn ʿwr wqʿ {-n} ʾ	By Whblh son of Mlk son of Whblh son of Mrʾlh son of ʾḥlm son of Lbṣrh and he grieved for Mlk and for Ḫrg and for Gḥmn and for ʾys¹ and for Ẓn. So, O Lt and Ds²r [grant] blood-revenge [to be taken] and blind whoever scratches out [the writing] and O Dṯn let him be alone whoever scratches out our rock	Er trauerte um Mlk, / um Ḫrg, um Gḥmn, um ʾys, um Ẓn. / Allat und Duschara — / Blutrache. / Und blende, wer dies blind macht.
fluchen	KRS 2919	Al-Mafraq	l yʾs¹l [bn] ʿmr w h rḍw ʿwr m ʿwr	By Yʾs¹ son of ʿmr and O Rḍw blind whoever scratches out [the writing]	Rudā — / blende, wer die Schrift blind macht.
fluchen	KRS 813	Al-Mafraq	l drʾl bn ʾnʿm bn mḥlm bn ʿbdʾl bn hḏr bn grmʾl w wgm ʿl- ṣʿd w h lt ʿwr ḏ yʿwr w nqʾt ḏ [[y]] <<fr>> ʿwr h- s¹fr	By Drʾl son of ʾnʿm son of Mḥlm son of ʿbdʾl son of Hḏr son of Grmʾl and he grieved for Ṣʿd and O Lt blind whoever scratches out [the writing] and [inflict] ejection from the grave [on] whoever scratches out the writing	Er trauerte um Ṣʿd. / Allat — blende, wer dies blind macht, / und werfe ihn aus dem Grab.
fluchen	KRS 941	Al-Mafraq	l nʿmn bn ṣʿd bn ys¹mʿl w wgd ʾṯr ṣʿd f ngʿ w bʾs¹ mẓll w rġm m{n}{y} {ʿ}{n}{y} {w} {q}l ḫbl -h trḥ w h lt ʿwr ḏ yʿwr h- s¹{f}r	By Nʿmn son of Ṣʿd son of Ys¹mʿl and he found the traces of Ṣʿd and so he grieved in pain and for those who remain despair and he [Ṣʿd] had been struck down {by Fate} {while suffering} {and he [the author] said aloud} 'may its [the inscription's] effacer perish' and O Lt blind him who would efface this {writing}	Er fand die Spuren des Ṣʿd, / den das Schicksal bezwungen hatte,  / und trauerte vor Schmerz — / wer überlebt, verzweifelt. / Allat — / blende, wer die Schrift blind macht.
fluchen	LP 243	Al-Mrōshan	l ʿḏ bn ġṯ bn ʿḏ bn ʿḏ bn ġṯ bn wdm bn s¹[r] bn ṣbḥ w b(k)y w wgm ʿl- ʾb -h qtl f h ylh ṯʾr w ts²wq ʾl- dd -h w ʾs²yʿ -h kll -hm w ʿ(w)r l- ḏ yʿwr	By ʿḏ son of Ġṯ son of ʿḏ son of ʿḏ son of Ġṯ son of Wdm son of {S¹r} son of Ṣbḥ and Bky and he {wept} and grieved for his father, who was murdered, so, O Lh, he will have vengeance; and he longed for his paternal uncle and all of his companions; and may he who would {efface} go blind	Er weinte, er trauerte / um den Vater, den sie ermordeten. / Lh — Blutrache! / Er sehnte sich nach dem Vaterbruder / und allen Gefährten. / Wer dies blind macht: erblinde.
fluchen	LP 308	al-ʿĪsāwī	l ns²l bn mqm bn ḥml bn ns²bt w wgm ʿl- mqm w ʿl- ʿqrb w ʿl- s¹ḫr w ʿl- tmʾl w ʿl- mqm w ʿl- ḥml w h lt ʿwr ḏ yʿwr h- s¹[f]r	By Ns²l son of Mqm son of Ḥml son of Ns²bt and grieved for Mqm and for ʿqrb and for S¹ḫr and for Tmʾl and for Mqm and for Ḥml and O Lt [inflict] blindness on whoever scratches out the inscription	Er trauerte um Mqm, / um ʿqrb, um Sḫr, / um Tmʾl, um Mqm, um Ḥml. / Allat — / Blindheit dem, der dies blind macht.
fluchen	LP 461	al-ʿĪsāwī	l whblh bn mlk bn whblh bn mrʾlh bn ʾḥlm bn lbb w wgm ʿl- mlk w ʿl- ḫrg w ʿl- gm w ʿl- ʾys¹ w ʿl- ẓn f h lt w ds²r ṯʾr w ʿwr ḏ yʿwr w dṯn h- ʾs¹d l- m ʿwr wqʿ ḏ- ʾl zdʾl	By Whblh son of Mlk son of Whblh son of Mrʾlh son of ʾḥlm son of Lbb and he grieved for Mlk and for Ḫrg and for Gm and for ʾys¹ and for Ẓn. So, O Lt and Ds²r, grant blood-revenge! And strike blind him who effaces (this inscription)! And may the lion alight upon the effacer! Wqʿ of the tribe of Zdʾl	Er trauerte um Mlk, / um Ḫrg, um Gm, um ʾys, um Ẓn. / Allat und Duschara — / Blutrache! / Und blende, wer dies blind macht.
fluchen	RSIS 132	Tall aḍ-Ḍabiʿ	l ys¹lm bn ʿbdʾl bn s²ddt bn lʿṯmn w wgm ʿl- ṣʿd w h lt ʿwr l- ḏ yʿwr h- s¹fr	By Ys¹lm son of ʿbdʾl son of S²ddt son of Lʿṯmn and he grieved for Ṣʿd and O Lt [inflict] blindness on whoever scratches out the writing	Er trauerte um Ṣʿd. / Allat — / Blindheit dem, der die Schrift blind macht.
fluchen	RSIS 351	Tall aḍ-Ḍabiʿ	l s¹ḫr bn ʿbd bn ʾdm bn ms¹k bn s²rb w ḏkr ḍr w bky ʿ[l]- ʾb -h w [ʿl-] ʿbd w dd -h f wlh ʿl- ḏ ḍr f tfqd w s²ty ḥrt ʿwd w ḥl h- dr w nqʾt w grb l- ḏy yʿwr h- ḫṭṭ	By S¹ḫr son of ʿbd son of ʾdm son of Ms¹k son of S²rb and he remembered Ḍr and wept [for] his father and [for] ʿbd and his paternal uncle and so he was distraught over those who were harmed and were lost; and he spent the winter in the Ḥarrah again and camped in this place; and may he who would efface this writing have scabies and be thrown from the grave.	Er gedachte des Ḍr / und weinte um den Vater, um ʿbd, um den Vaterbruder, / und verstörte sich über die, / die zu Schaden kamen und verloren gingen. / Und er überwinterte abermals in der Ḥarrah / und lagerte an diesem Ort. / Wer diese Schrift auslöscht: / den befalle die Krätze, / und man werfe ihn aus dem Grab.
fluchen	WH 368	Fundort unbekannt	l bny bn s¹hm bn qḥs² h- ḫṭṭ w h lt ʿwr w ʿrg w ḫrs¹ w grb w ḥkk l- ḏ yʿwr h- s¹fr	By Bny son of S¹hm son of Qḥs² is this writing and, O Lt, let there be blindness and lameness and dumbness and scab and mange to him who would efface this writing.	Diese Schrift. / Allat — / dem, der sie blind macht: / Blindheit und Lähmung, / Stummheit, Krätze und Räude.
bezeugen	ASFF 267	Al-Mafraq	l s²rk bn gmr bn ġr w ṣyr m s¹mwt s¹nt ws¹q mʿṣ	By S²rk son of Gmr son of Ġr and he returned to the watering place from S¹mwt the year of the struggle of Mʿṣ	Er kam zurück von Smwt / im Jahr des Kampfes des Mʿṣ.
bezeugen	BWM 3	Wādī Miqāṭ	l frds¹ h- {d}r s¹nt qtl ḥrb w ʾlmn f nwy l- ʾnks¹r	By Frds¹ was here [in] the year that Ḥrb and ʾlmn were killed and he migrated to ʾnks¹r	Er war hier / im Jahr, als Ḥrb und ʾlmn erschlagen wurden, / und zog nach ʾnksr.
bezeugen	C 2190	Zalaf	l ʿyḏ bn mrt bn ʿyḏ w ʾs²rq s¹nt myt {d}{d} -h [w] wgm ʿl- ks¹ṭ	By ʿyḏ son of Mrt son of ʿyḏ and he travelled to the inner desert the year his {paternal uncle} died [and so] he grieved for Ks¹ṭ.	Er zog tief in die Wüste, / im Jahr, als der Vaterbruder starb, / und trauerte um Ksṭ.
bezeugen	C 4681	Rif Dimašq	l ḫlṣ bn gʿl bn mṭr w bny h- ẓlt s¹nt ʿrb h- bġyt {b-} h- rḥbt f lt s¹lm w ʿwr l- ḏ yʿwr	By Ḫlṣ son of Gʿl son of Mṭr and he built the small shelter the year the torrents [resulting from] much rain [came] to this raḥaba, so Lt, may he be secure, but [inflict] blindness on him who would scratch out [the inscription]	Er baute den kleinen Unterstand / im Jahr, als die Sturzfluten / in diese weite Senke kamen. / Allat — Sicherheit; / Blindheit dem, der dies blind macht.
bezeugen	C 4902	Rif Dimašq	l mʿd(ʾ)l (h-) dr s¹nt h- ġ{ṯ} w ṣyd h- gdd	{Mʿdʾl} {was here} the year of much rain and he hunted on the level ground	Er war hier / im Jahr des großen Regens / und jagte auf flachem Land.
bezeugen	HSNS 1	Jordanien (allg.)	l qḥs² bn s²mt bn zkr bn ġyrʾl bn zkr w ʾs²rq l- mdbr s¹nt myt grfṣ	By Qḥs² son of S²mt son of Zkr son of Ġyrʾl son of Zkr and he migrated to the inner desert the year Agrippa died	Er zog tief in die Wüste / im Jahr, als Agrippa starb.
bezeugen	HSNS 5	Jordanien (allg.)	l lbʾt bn ḫṭs¹t bn flṭt bn bhs² bn ʾḏnt bn ʾs¹lm bn zkr bn rfʾt bn ws²yt bn ḍf bn ʿgd bn tʿwḏ w ḥl dr s¹nt mlk grfṣ bn hrdṣ w wgd ʾṯr ʾḫwl -h ʾl ʾs²ll tm w grmʾ w ʾḥwḍ w zbd f ngʿ w h ds²ry w lt ġnmt l- ḏ dʿy w lm yḫbl s¹fr	By Lbʾt son of Ḫṭs¹t son of Flṭt son of Bhs² son of ʾḏnt son of ʾs¹lm son of Zkr son of Rfʾt son of Ws²yt son of Ḍf son of ʿgd son of Tʿwḏ and he was here in the year the king Agrippa son of Herod and he found the traces of his maternal uncles [of] the lineage of ʾs²ll, Tm and Grmʾ and ʾḥwḍ and Zbd so he grieved in pain and O Ds²ry and Lt [grant] booty to whoever leaves [the inscription intact] [inflict] suffering on him who destroys [the inscription].	Von Lbʾt, Sohn des Ḫṭst, Sohn des Flṭt, / Sohn des Bhš, Sohn des ʾḏnt, Sohn des ʾslm, / Sohn des Zkr, Sohn des Rfʾt, Sohn des Wšyt, / Sohn des Ḍf, Sohn des ʿgd, Sohn des Tʿwḏ. / Und er war an diesem Ort / im Jahr, als Agrippa König war, der Sohn des Herodes, / und er fand die Spuren seiner Mutterbrüder / vom Stamm ʾšll — / Tm und Grmʾ und ʾḥwḍ und Zbd — / und trauerte vor Schmerz. / Duschara und Allat: / Beute dem, der die Schrift unversehrt lässt, / Leid dem, der sie zerstört.
bezeugen	ISB 57	Site 4	l ʾs¹yb bn mrh bn ʿbṯn ḏ- ʾl mḥrb w wgm ʿl- ʾḫt -h ʿḏb w qṣṣ s¹nt mlk rbʾl	By ʾs¹yb son of Mrh son of ʿbṯn of the tribe of Mḥrb. And he grieved for the sister of ha-ʿḏb. And he followed in pursuit the year of king Rbʾl	Er trauerte um die Schwester / und ritt zur Verfolgung aus, / im Jahr des Königs Rabbel.
bezeugen	Is.L 202	al-ʿĪsāwī	l zkr bn ẓnʾl bn s¹b w rʿy h- nḫl bql s¹nt tmʾ	By Zkr son of Ẓnʾl son of S¹b and he pastured in this valley on spring herbage the year of Taymāʾ	Er weidete auf dem Frühjahrsgras / im Jahr von Taymāʾ.
bezeugen	KRS 1586	Al-Mafraq	l ʿzgd bn frʾn h- ẓlt wrd s¹nt ṣh	The shelter belongs to ʿzgd son of Frʾn he came to a watering-place the year of ṣh	Der Unterstand gehört ʿzgd. / Er kam ans Wasser / im Jahr des ṣh.
bezeugen	LP 1291	Syrien (allg.)	l s¹wd bn mḥlm bn rbʾ{l}{h} bn ʾnʿm w dṯʾ h- ʿrḍ s¹nt mʿdh s¹lm {m-} {b}{l}{h}	By S¹wd son of Mḥlm son of {Rbʾlh} son of ʾnʿm and he spent the season of the later rains in this valley, in the year in which the torrent passed along with his camels	Er blieb die späten Regen in diesem Tal, / im Jahr des Sturzbachs,  / und kam mit seinen Kamelen heil davon.
bezeugen	LP 254	Al-Mrōshan	l ʿwḏ bn s¹ny bn bḫlh bn ẓnnʾl bn s¹r w ḥḍr s¹nt bʿy ʾl qmr ʾl ḥmy w wgm ʿl- ġṯ trḥ rġm mny	By ʿwḏ son of S¹ny son of Bḫlh son of Ẓnnʾl son of S¹r and he camped near a permanent source of water in the year in which the tribe of Qmr did injury to the tribe of Ḥmy and he grieved for Ġṯ untimely dead and humbled by Fate	Er lagerte am beständigen Wasser / im Jahr, als der Stamm Qmr / dem Stamm Ḥmy Schaden tat, / und trauerte um Ġṯ, / zu früh gestorben, vom Schicksal bezwungen.
bezeugen	LP 653	Rif Dimašq	l mġyr bn mḥlm bn ʿbd bn mʿz bn ms²ʿr w ḥḍr h- dr s¹nt ngy gr mn- qṣr nqʾt w wg[m] ʿl- glḥn qtl w ʿl- ʾb{n} qtl w ʿl- mʿz qtl w ʿl- mlk qtl w ʿl- ns¹m w ʿl- ṭr{h} s¹mwy	By Mġyr son of Mḥlm son of ʿbd son of Mʿz son of Ms²ʿr and he camped by permanent water at this place the year the [legions] of Grmnqṣ were at Nqʾt; and he [grieved] for Glḥn, who was killed, and for {ʾbn}, who was killed, and for Mʿz, who was killed, and for Mlk, who was killed, and for Ns¹m, and for Ṭr, the S¹mw-ite	Er lagerte am beständigen Wasser / im Jahr, als die Legionen des Germanicus bei Nqʾt standen. / Und er trauerte: / um Glḥn, erschlagen, / um ʾbn, erschlagen, / um Mʿz, erschlagen, / um Mlk, erschlagen, / um Nsm, / und um Ṭr aus dem Stamm Smw.
bezeugen	RQ.D 3	Riǧm Qaʿqūl	l ʿm bn ʿmrn bn ʿbṭ w wgm ʿl- ʾm -h qtlt s¹nt {ʾ}rm	By ʿm son of ʿmrn son of ʿbṭ and he grieved for his paternal uncle who was killed the year of ʾrm	Er trauerte um die Mutter, / die getötet wurde, / im Jahr des ʾrm.
bezeugen	RQ.D 6	Riǧm Qaʿqūl	l ʾḏnt bn wrd bn ʾnʿm bn khl ḏ- ʾl nġbr w wgʿ [ʿ]l- s²rk qtl w ʿl- ʿyḏ s¹by s¹nt h- rm	By ʾḏnt son of Wrd son of ʾnʿm son of Khl of the lineage of Nġbr and he grieved in pain for S²rk who was killed and for ʿyḏ who was a prisoner the year of the Rm	Er trauerte vor Schmerz / um den getöteten Šrk / und den gefangenen ʿyḏ, / im Jahr der Römer.
bezeugen	RWQ 304	Wādī Salma	l ẓnn bn zbd bn qdmʾl w ʾḫḏ h- dr s¹nt ʾrzʾ ydʿ bn s¹lmn	By Ẓnn son of Zbd son of Qdmʾl and he took possession of this place [in] the year ʾrzʾ Ydʿ son of S¹lmn	Er nahm diesen Ort in Besitz / im Jahr des ʾrzʾ.
bezeugen	ZN 1	Zimlet Nāṣir	l s²rk bn ṣʿd bn s²r{d} bn ʾnʿm bn lʿṯmn w wgm ʿl ʾḫ -h qtl s¹nt qbr	By S²rk son of Ṣʿd son of {s²rd} son of ʾnʿm son of Lʿṯmn and he grieved for his brother who had been killed in the year of qbr	Er trauerte um den Bruder, / der getötet wurde, / im Jahr des Qbr.
